id_run_name,iteration,reward,max_reward,std_reward,num_envs_train,mean_Episode_Reward/rew_attitude_stability2,mean_Episode_Reward/rew_ang_vel_stability4,mean_Episode_Reward/rew_pos2,mean_Episode_Reward/rew_action_rate,mean_Episode_Reward/rew_heading,mean_Episode_Reward/rew_track_vel3,mean_Episode_Termination/time_out,mean_Episode_Termination/below_min_altitude,mean_Episode_Termination/bad_attitude,mean_Episode_Termination/safety_shutdown
ppo_random_command14_1,3965,312.1589931488037,365.28912353515625,47.24188642143656,8196,1.7762870620936155,0.9073505573906004,0.8099304083734751,-0.0005888284019874,1.8447848241776228,6.944583185017109,0.8513966174796224,0.1435341890901327,0.0050691649776126,0.0
ppo_random_command14_2,3619,244.6327507972717,340.9170837402344,63.854399828068736,8196,1.509947657585144,0.7868279772810638,0.3320237705484032,-0.000248298931524,1.312080068513751,5.800197411328554,0.4178953426890075,0.3570634727366268,0.2250411814311519,0.0
ppo_random_command14_3,113,286.0010127258301,338.5847473144531,36.502037714525166,8196,1.6710450751706958,0.8294295505620539,1.006157899973914,-1.37106142193079,1.9622315815649929,6.903463669121265,0.8761267140507698,0.111307157552801,0.0125661524944007,0.0
ppo_random_command14_4,1230,348.97484497070315,380.17584228515625,18.51541550962581,8196,1.807924386113882,0.9230438536033034,1.1719471458345652,-0.0010839731939995,2.4651430370286107,7.295795280486345,0.956916875205934,0.0381788737140595,0.0049042595928767,0.0
ppo_random_command14_5,1272,356.68376098632814,386.2502136230469,20.03328950407533,8196,1.7901163008064032,0.917145358864218,1.4355909912846982,-0.0010781471578411,2.500692307017744,7.256858341395855,0.9279069229960442,0.0708205583505332,0.0012725338428936,0.0
ppo_random_command14_6,722,354.06314834594724,388.0244445800781,32.93222613118303,8196,1.8071320429444315,0.929921739269048,1.2691367068327963,-0.0008221548609981,2.6346185076981783,7.280306808650494,0.9453296707943082,0.0464832312427461,0.0081871110014617,0.0
ppo_random_command14_9,662,341.8087963867188,380.0524291992188,20.87237262363956,8196,1.8446933021768928,0.941243744455278,0.6730344332754612,-0.0002162011184054,2.5928852586075664,7.1967021487653255,0.9464620826765896,0.0414512427523732,0.0120866885408759,0.0
ppo_random_command14_10,486,344.3878926086426,380.6818237304688,24.70260532655272,8196,1.810498061589897,0.8982753986492753,1.3112188372761011,-0.129844386188779,2.3022766578942537,7.336896941065788,0.9479519478045404,0.0493285590782761,0.0027195049915462,0.0
ppo_random_command14_11,204,295.7242964172363,338.8746337890625,28.779238401567508,8196,1.841078137978912,0.889936700463295,0.3878823048435151,-0.7689996953122318,2.216376965865493,7.099317576736212,0.974291962571442,0.0185475377365946,0.0069164836459094,0.0002440214739181
ppo_random_command14_12,85,334.5663330078125,381.495849609375,24.24093283740081,8196,1.8166903629899025,0.9014349170029164,1.331103315576911,-0.2853370963130146,2.155259002000093,7.341398548334837,0.9391462062485516,0.0532834217883646,0.0075703850015997,0.0
ppo_random_command14_13,198,343.36322540283203,384.2834167480469,16.98249588643797,8196,1.839591585099697,0.918128300923854,1.1420725248754025,-0.0675161967228632,2.441792437806725,7.36319250613451,0.9704343271441758,0.027673560733092,0.0018921196460723,0.0
