id_run_name,iteration,reward,max_reward,std_reward,num_envs_train,mean_Episode_Reward/rew_attitude_stability2,mean_Episode_Reward/rew_ang_vel_stability4,mean_Episode_Reward/rew_pos2,mean_Episode_Reward/rew_action_rate,mean_Episode_Reward/rew_heading,mean_Episode_Reward/rew_track_vel3,mean_Episode_Termination/time_out,mean_Episode_Termination/below_min_altitude,mean_Episode_Termination/bad_attitude,mean_Episode_Termination/safety_shutdown
ppo_random_command14_1,0,8.45260108947754,24.226543426513672,4.890102102886668,8196,0.043261801460175775,0.029347853816943825,0.05031126390076679,-3.056244427451782e-06,0.03505291599276461,0.09751601722484793,0.02550215018891322,0.006741093221990013,0.4091096251727322,0.0
ppo_random_command14_1,100,36.38365685224533,83.59708404541016,19.960881646469414,8196,0.22255614900495857,0.1560681517003104,0.10008299228502437,-7.870740606819027e-06,0.14429091068450361,0.8581945039331913,0.0,0.7202799073420465,0.27947035199031234,0.00024974072721306584
ppo_random_command14_1,200,38.84264178276062,96.36140441894531,16.98471289955918,8196,0.2183290822431445,0.15113537048455328,0.1007163975154981,-4.254147841109557e-06,0.18271442805416882,0.8535046461038291,0.0,0.8067092425189912,0.19329074257984757,0.0
ppo_random_command14_1,300,44.54521422386169,141.41427612304688,22.343766864012032,8196,0.2572095312643796,0.16246917145326734,0.10876893298700452,-4.032301783141179e-06,0.19389520888216794,1.0830759801901877,0.0,0.7670452771708369,0.23295472282916307,0.0
ppo_random_command14_1,400,48.90876040458679,134.37509155273438,27.802438659461156,8196,0.28095071122515947,0.17089600616600364,0.11213285685516894,-4.462384975312261e-06,0.21244928345549852,1.1864301664754748,0.0,0.7808115165680647,0.21907981240656227,0.00010866581260415842
ppo_random_command14_1,500,53.135949211120604,164.2366180419922,30.712869192392684,8196,0.29356337152421474,0.17514897987712175,0.11346338491421193,-4.867912458905721e-06,0.21940061973873526,1.2521750638261437,5.433290630207921e-05,0.7846062402240932,0.2148151472210884,0.0005242648767307401
ppo_random_command14_1,600,56.4566592168808,133.73768615722656,28.65160196049074,8196,0.2878467934206128,0.17148638924118131,0.11237246711971238,-5.252148941536916e-06,0.21967719192616642,1.2331265388056636,0.00012201073695905507,0.7720315116457641,0.2271086941473186,0.0007377836764135282
ppo_random_command14_1,700,51.4037068939209,130.1210174560547,27.23685069006379,8196,0.3034801478497684,0.17451231961604208,0.11469109723111615,-5.911051417228919e-06,0.22718780778814107,1.2739069014787674,0.0,0.7714834166690707,0.22756432788446546,0.0009522556583760888
ppo_random_command14_1,800,51.820863304138186,149.5646514892578,29.179182972484934,8196,0.3125240649096668,0.17631797562353313,0.11566301470156759,-6.556513277189424e-06,0.23534473753534257,1.3049452439881861,0.00038604959740951017,0.7794017209671438,0.21891395351849496,0.0012982704738533357
ppo_random_command14_1,900,60.22984218597412,204.4464111328125,37.0631571929023,8196,0.33193395903799683,0.18083405680954456,0.11862289387499914,-7.580135168439028e-06,0.24284544261172414,1.3646800401620567,0.001032325203595974,0.7686228374950588,0.22836502315476537,0.0019798148332483834
