,30,-450.0,-600.0,60.0,10.0,0.0,0.0,None,None
,40,-350.0,-600.0,60.0,10.0,0.0,0.0,None,None
,50,-250.0,-600.0,60.0,10.0,0.0,0.0,None,None
,60,-150.0,-600.0,60.0,10.0,0.0,0.0,None,None
,70,-50.0,-600.0,60.0,10.0,0.0,0.0,None,None
,100,100.0,-450.0,100.0,0.0,10.0,0.0,None,None
,110,100.0,-350.0,100.0,0.0,10.0,0.0,None,None
,120,100.0,-250.0,100.0,0.0,10.0,0.0,None,None
,150,-50.0,-100.0,60.0,-10.0,0.0,0.0,None,None
,160,-150.0,-100.0,60.0,-10.0,0.0,0.0,None,None
,170,-250.0,-100.0,60.0,-10.0,0.0,0.0,None,None
,180,-350.0,-100.0,60.0,-10.0,0.0,0.0,None,None
,190,-450.0,-100.0,60.0,-10.0,0.0,0.0,None,None
