id_run_name,iteration,reward,max_reward,std_reward,num_envs_train
ppo_random_hover_1,0,-6.792864302794139,-1.60614275932312,5.31906635401348,64
ppo_random_hover_2,0,-7.45297953993082,-0.442903071641922,3.768650370075693,4096
ppo_random_hover_3,0,-7.450981266796589,-0.037374310195446,6.413466464202903,512
ppo_random_hover_4,0,-14.70887240409851,-2.4914252758026123,13.518942294898077,4096
ppo_random_hover_5,0,-4.385692002656668,-0.037374310195446,4.457416547658358,512
ppo_random_hover_6,0,-10.920338591205931,-0.037374310195446,9.551536154206577,2048
ppo_random_hover_7,1990,-4.014223522245884,26.56249618530273,16.33848711897191,128
ppo_random_hover_8,0,-4.486962829918965,-0.037374310195446,4.521206492107197,512
ppo_random_hover_9,0,-5.892065319276991,-0.037374310195446,4.749284216948251,1024
ppo_random_hover_11,0,-4.307209384506163,-0.037374310195446,4.37160857200101,512
ppo_random_hover_13,1800,4.247943785637617,37.54553985595703,23.881363921238872,2048
ppo_random_hover_15,1140,-6.12778426527977,28.409164428710938,22.16310803883825,512
ppo_random_hover_17,0,-6.884575625260671,-1.7910236120224,5.24424772859774,64
ppo_random_hover_18,0,-5.635018356144428,-0.3749899268150329,4.827470302882114,128
ppo_random_hover_19,0,-17.885803439617156,-1.957071781158448,16.414243149173128,4096
ppo_random_hover_20,0,-11.080819345921988,-0.037374310195446,9.724709101065589,2048
ppo_random_hover_21,0,-10.255196363925934,-1.4099304676055908,8.03268516314063,4096
ppo_random_hover_22,0,-5.375534508732104,-0.037374310195446,4.474373754182861,1024
ppo_random_hover_24,0,-18.174345605373382,-1.948161602020264,16.551024514313458,4096
ppo_random_hover_25,0,-14.966088600158692,-2.430194139480591,13.8025466591164,4096
ppo_random_hover_26,0,-7.268004774153232,-0.4071494042873382,3.688357294624589,4096
ppo_random_hover_27,0,-5.859600772460301,-0.3734611868858337,5.46007772037686,64
ppo_random_hover_30,0,-5.795866843312979,-0.413929671049118,4.83656746543362,128
ppo_random_hover_31,0,-9.095181511803752,-0.037374310195446,7.803141503837183,1024
ppo_random_hover_32,0,-45.87923208236694,-10.761062622070312,20.14523109188184,8196
ppo_random_hover_33,0,-5.381569364773376,-0.037374310195446,4.479245706452883,1024
ppo_random_hover_34,0,-6.792864302794139,-1.60614275932312,5.31906635401348,64
ppo_random_hover_35,0,-10.97061839158691,-0.037374310195446,9.614381137968453,2048
ppo_random_hover_36,0,-4.592712306134079,-0.037374310195446,4.342827739474355,512
ppo_random_hover_37,0,-7.425219294493613,-0.037374310195446,6.401339412263648,512
ppo_random_hover_38,1899,11.54544611170888,38.172245025634766,14.974811788193575,2048
ppo_random_hover_39,0,-4.542444302659968,-0.037374310195446,4.272567399115944,512
ppo_random_hover_40,0,-23.97823623180389,-2.290228366851806,17.503949927839933,8196
ppo_random_hover_41,0,-10.244885894060134,-1.4298661947250366,7.998314941733727,4096
ppo_random_hover_42,0,-5.818874910473824,-0.6205431222915649,4.701573790693028,128
ppo_random_hover_43,0,-5.63954708352685,-0.3712188303470611,4.839182799417397,128
ppo_random_hover_44,0,-25.47238247036934,-1.8336851596832275,21.755055467099183,8196
ppo_random_hover_45,0,-25.68652529716492,-1.564286470413208,21.784639848272704,8196
ppo_random_hover_46,0,-5.783214382827282,-0.4058184027671814,4.772084110367507,128
ppo_random_hover_47,0,-45.91112741470337,-10.549946784973145,20.13403644302886,8196
ppo_random_hover_48,0,-25.265742223262787,-2.2222907543182373,18.109462340115503,8196
ppo_random_hover_51,0,-7.456440800726414,-0.4412650167942047,3.7694612776232046,4096
ppo_random_hover_54,0,-46.46727891921997,-10.75615692138672,19.87359466334204,8196
ppo_random_hover_55,0,-45.91112741470337,-10.549946784973145,20.13403644302886,8196
ppo_random_hover_56,0,-5.765750338633855,-0.4270282387733459,5.492342794984311,64
ppo_random_hover_57,1101,-2.7099291445314884,28.458314895629883,18.22478142147912,4096
ppo_random_hover_58,0,-5.845759034156799,-0.7553291320800781,5.202291575077507,64
ppo_random_hover_60,0,-5.921164408503544,-0.037374310195446,4.836700270304818,1024
ppo_random_hover_61,0,-5.392157901078463,-0.037374310195446,4.499297416525551,1024
ppo_random_hover_62,1989,-1.6466427564620971,28.801130294799805,14.29233849560514,64
ppo_random_hover_63,1819,7.904929173439741,36.32856369018555,18.24435988694091,1024
ppo_random_hover_64,0,-5.691761701234749,-0.037374310195446,5.637756550450095,2048
ppo_random_hover_65,0,-17.801896641254427,-2.0663492679595947,16.4132222182344,4096
ppo_random_hover_66,0,-5.897486259539922,-0.3722581267356872,5.456243696871888,64
ppo_random_hover_67,0,-5.033815996455295,-0.037374310195446,4.477870529599832,1024
ppo_random_hover_68,0,-9.381455661108095,-0.037374310195446,7.979555399388075,1024
ppo_random_hover_69,0,-26.32790652990341,-2.8513543605804443,15.251878926425336,4096
ppo_random_hover_70,0,-24.14917473077774,-2.267654657363892,17.516251380645027,8196
ppo_random_hover_72,0,-9.458519872189278,-0.037374310195446,11.898036046661622,2048
ppo_random_hover_73,0,-46.44761032104492,-10.850257873535156,19.831019384315365,8196
ppo_random_hover_74,0,-5.850505034128825,-0.3777996301651001,5.464747307888289,64
ppo_random_hover_76,0,-5.845759034156799,-0.7553291320800781,5.202291575077507,64
ppo_random_hover_77,0,-7.003203716838644,-0.037374310195446,6.978561391930674,1024
ppo_random_hover_78,0,-4.680937729128029,-0.037374310195446,4.366740841591702,512
ppo_random_hover_80,0,-46.44761032104492,-10.850257873535156,19.831019384315365,8196
ppo_random_hover_82,0,-5.836124047636986,-0.6374657154083252,4.702861792113507,128
ppo_random_hover_83,0,-5.394093171649036,-0.037374310195446,4.4910590206551495,1024
ppo_random_hover_84,0,-9.32515632390976,-1.670973539352417,3.874328028753072,8196
ppo_random_hover_85,0,-6.916381021473734,-0.0083361007273197,7.404510098607542,2048
ppo_random_hover_86,0,-14.704105792045594,-2.4868783950805664,13.52463096321504,4096
ppo_random_hover_89,0,-5.945923676093419,-0.4238554835319519,5.55408783082764,64
ppo_random_hover_90,0,-7.400824256539344,-0.4352561831474304,3.745794763744189,4096
ppo_random_hover_92,0,-7.123422924074388,-0.037374310195446,7.295819832480061,1024
ppo_random_hover_93,1636,6.740321715474129,32.83744430541992,16.67192996414108,4096
ppo_random_hover_94,0,-5.921169479155824,-0.037374310195446014,4.826796717268021,1024
ppo_random_hover_95,0,-6.0710881898800535,-0.45120343565940857,5.561494006213991,64
ppo_random_hover_96,0,-4.612559276743836,0.026247575879096985,4.261138618868808,2048
ppo_random_hover_97,0,-5.921164408503544,-0.037374310195446014,4.836700270304818,1024
ppo_random_hover_98,0,-27.014431402683257,-2.9829883575439453,15.291104197781442,4096
ppo_random_hover_99,0,-5.614720289905866,-0.36701634526252747,5.325857331154329,64
ppo_random_hover_100,0,-6.0457664132118225,-0.397027850151062,5.590250492496177,64
