id_run_name,iteration,reward,max_reward,std_reward,num_envs_train,mean_Episode_Reward/rew_attitude_stability2,mean_Episode_Reward/rew_ang_vel_stability4,mean_Episode_Reward/rew_vel2,mean_Episode_Reward/rew_pos2,mean_Episode_Reward/rew_action_rate,mean_Episode_Reward/rew_heading,mean_Episode_Termination/time_out,mean_Episode_Termination/below_min_altitude,mean_Episode_Termination/bad_attitude,mean_Episode_Termination/safety_shutdown
ppo_random_command10_11,0,5.613765432834625,12.860278129577637,2.381269797946895,4096,0.05688984850894485,0.029656098662599106,0.006316004166252916,0.04132859535093303,-6.350531595256115e-06,0.04966420516393555,0.024774551391601562,0.0021209716796875,0.4212493896484375,0.0
ppo_random_command10_11,100,21.080667977333068,50.08913803100586,8.719577813108469,4096,0.28237465769052505,0.149823616608046,0.059047516420832835,0.04814374167472124,-4.1576072760562965e-05,0.3001730691175908,0.0,0.2587471008300781,0.7412528991699219,0.0
ppo_random_command10_11,200,67.19787775039673,235.98716735839844,50.019978951797405,4096,0.6502022275235504,0.33181438664905727,0.49186005375668174,0.05241489103354979,-0.00013283574878641957,1.0784270563162863,0.0060272216796875,0.2010955810546875,0.792877197265625,0.0
ppo_random_command10_11,300,189.05156984329224,375.275146484375,102.42542139003781,4096,1.349598814966157,0.6674467510310933,3.05514130346586,0.10737504676217213,-0.0005883500085701598,2.2030064002610743,0.2747821807861328,0.19920921325683594,0.5260086059570312,0.0
ppo_random_command10_11,400,335.3502519226074,385.7756042480469,47.49781496279873,4096,1.919742600992322,0.9451483674347401,7.436662260442972,0.14216237326036207,-0.002477729896781966,3.027565188705921,0.9422664642333984,0.023790359497070312,0.03394317626953125,0.0
ppo_random_command10_11,500,356.13663482666016,400.8687438964844,23.488695239683754,4096,1.9288777969777584,0.9399989005178213,8.029999576508999,0.19190800251089968,-0.007019869168289006,3.1206260481849313,0.9870185852050781,0.012216567993164062,0.0007648468017578125,0.0
ppo_random_command10_11,600,356.50048278808595,397.163818359375,23.585168460963576,4096,1.9339807210490108,0.9336581039242446,8.250177174806595,0.2221779806423001,-0.016092776400910225,2.958263265900314,0.9794368743896484,0.019506454467773438,0.001056671142578125,0.0
ppo_random_command10_11,700,360.9994967651367,434.52978515625,24.32506121839164,4096,1.9301541289314628,0.9263344197534025,8.403530672192574,0.31540954479714856,-0.028054042501025833,2.900777665898204,0.9790878295898438,0.02066802978515625,0.000244140625,0.0
ppo_random_command10_11,800,361.1180450439453,402.46221923828125,26.613414239735388,4096,1.9320332054048777,0.924160813447088,8.39976156130433,0.367603539081756,-0.04429191135568544,2.887999214231968,0.9775276184082031,0.021495819091796875,0.0009765625,0.0
ppo_random_command10_11,900,354.816118927002,419.3783874511719,30.82976445958263,4096,1.9273522105067968,0.9194221375510097,8.462539035826921,0.33411444135708734,-0.06284547111135907,2.757305247709155,0.9760608673095703,0.023279190063476562,0.000659942626953125,0.0
ppo_random_command10_11,1000,356.1018228149414,408.54376220703125,22.2776658870003,4096,1.9195978259667754,0.9130422393791378,8.458241395652294,0.3722113813564647,-0.08323242503684014,2.7234457647427917,0.9717655181884766,0.027502059936523438,0.000732421875,0.0
