60.02, -350.0, -400.0, 1.75, -0.0, 0.0, -0.0
61.04, -350.0, -400.0, 1.76, -0.0, 0.0, 0.03
62.06, -349.99, -400.0, 1.87, 0.04, 0.01, 0.24
63.08, -349.89, -399.96, 2.38, 0.17, 0.08, 0.79
64.1, -349.61, -399.79, 3.61, 0.38, 0.27, 1.66
65.12, -349.06, -399.39, 5.84, 0.74, 0.49, 2.71
66.14, -347.96, -398.84, 9.17, 1.48, 0.53, 3.79
67.16, -345.89, -398.43, 13.55, 2.59, 0.21, 4.76
68.18, -342.69, -398.55, 18.84, 3.61, -0.48, 5.56
69.2, -338.63, -399.35, 24.8, 4.33, -0.99, 6.04
70.22, -333.78, -400.37, 31.03, 5.19, -0.94, 6.11
71.24, -328.01, -401.24, 37.24, 6.05, -0.79, 6.07
72.26, -321.53, -401.86, 43.33, 6.64, -0.33, 5.74
73.28, -314.29, -401.76, 48.66, 7.64, 0.46, 4.74
74.3, -306.02, -401.24, 53.32, 8.38, 0.43, 4.52
75.32, -297.38, -400.8, 57.51, 8.6, 0.55, 3.41
76.34, -288.25, -400.05, 60.05, 9.37, 0.82, 1.79
77.36, -278.33, -399.38, 61.61, 9.98, 0.45, 1.33
78.38, -267.99, -399.11, 62.58, 10.27, 0.1, 0.5
79.4, -257.38, -399.15, 62.63, 10.51, -0.15, -0.32
80.42, -246.59, -399.39, 62.06, 10.62, -0.31, -0.71
81.44, -235.77, -399.75, 61.32, 10.56, -0.36, -0.69
82.46, -225.1, -400.09, 60.7, 10.36, -0.29, -0.53
83.48, -214.65, -400.31, 60.25, 10.12, -0.15, -0.36
84.5, -204.44, -400.39, 59.95, 9.92, -0.0, -0.24
85.52, -194.39, -400.33, 59.75, 9.81, 0.1, -0.14
86.54, -184.4, -400.2, 59.66, 9.78, 0.15, -0.05
87.56, -174.4, -400.05, 59.65, 9.83, 0.14, 0.03
88.58, -164.34, -399.93, 59.71, 9.91, 0.09, 0.09
89.6, -154.19, -399.87, 59.82, 9.99, 0.03, 0.12
90.62, -143.97, -399.87, 59.94, 10.04, -0.02, 0.11
91.64, -133.71, -399.9, 60.05, 10.07, -0.05, 0.08
92.66, -123.44, -399.95, 60.11, 10.07, -0.05, 0.04
93.68, -113.18, -400.0, 60.12, 10.05, -0.04, -0.0
94.7, -102.95, -400.03, 60.1, 10.02, -0.02, -0.03
95.72, -92.74, -400.04, 60.06, 10.0, -0.0, -0.04
96.74, -82.55, -400.04, 60.02, 9.98, 0.01, -0.04
97.76, -72.37, -400.02, 59.98, 9.98, 0.02, -0.03
98.78, -62.19, -400.01, 59.96, 9.98, 0.02, -0.01
99.8, -52.01, -399.99, 59.96, 9.99, 0.01, 0.0
100.82, -41.82, -399.99, 59.97, 10.0, 0.0, 0.01
101.84, -31.62, -399.99, 59.98, 10.0, -0.0, 0.02
102.86, -21.41, -399.99, 60.0, 10.01, -0.0, 0.01
103.88, -11.21, -400.0, 60.01, 10.01, -0.01, 0.01
104.9, -1.0, -400.0, 60.01, 10.01, -0.0, 0.0
105.92, 9.2, -400.0, 60.01, 10.0, -0.0, -0.0
106.94, 19.41, -400.0, 60.01, 10.0, -0.0, -0.0
107.96, 29.61, -400.0, 60.0, 10.0, 0.0, -0.0
108.98, 39.8, -400.0, 60.0, 10.0, 0.0, -0.0
110.0, 50.0, -400.0, 60.0, 10.0, 0.0, -0.0
111.02, 60.2, -400.0, 60.0, 10.0, 0.0, 0.01
112.04, 70.39, -399.99, 60.03, 9.98, 0.02, 0.07
113.06, 80.55, -399.94, 60.18, 9.92, 0.1, 0.23
114.08, 90.59, -399.75, 60.52, 9.77, 0.29, 0.46
115.1, 100.44, -399.3, 61.12, 9.52, 0.6, 0.72
116.12, 109.98, -398.49, 61.99, 9.19, 1.0, 0.99
117.14, 119.14, -397.23, 63.14, 8.77, 1.46, 1.25
118.16, 127.85, -395.5, 64.55, 8.3, 1.92, 1.52
119.18, 136.06, -393.3, 66.23, 7.8, 2.38, 1.77
120.2, 143.74, -390.64, 68.16, 7.28, 2.83, 2.0
121.22, 150.89, -387.53, 70.31, 6.75, 3.27, 2.21
122.24, 157.5, -383.97, 72.67, 6.21, 3.71, 2.39
123.26, 163.56, -379.94, 75.17, 5.67, 4.17, 2.51
124.28, 169.06, -375.44, 77.78, 5.12, 4.64, 2.59
125.3, 174.0, -370.46, 80.44, 4.57, 5.11, 2.61
126.32, 178.38, -365.0, 83.09, 4.03, 5.59, 2.58
127.34, 182.21, -359.06, 85.69, 3.51, 6.05, 2.5
128.36, 185.54, -352.65, 88.18, 3.03, 6.5, 2.38
