id_run_name,iteration,reward,max_reward,std_reward,num_envs_train,mean_Episode_Reward/rew_attitude_stability2,mean_Episode_Reward/rew_ang_vel_stability4,mean_Episode_Reward/rew_vel2,mean_Episode_Reward/rew_pos2,mean_Episode_Reward/rew_action_rate,mean_Episode_Termination/time_out,mean_Episode_Termination/below_min_altitude,mean_Episode_Termination/bad_attitude,mean_Episode_Termination/safety_shutdown
ppo_random_command9_11,0,7.708062822818756,19.757577896118164,2.761156577589358,4096,0.056850057587325864,0.029684878241369006,0.002740213825781949,0.16585940880759154,-6.365913913564114e-06,0.024328231811523438,0.0022563934326171875,0.4207630157470703,0.0
ppo_random_command9_11,100,16.367266569137573,31.967592239379883,4.9048841811318935,4096,0.2911455846624449,0.1556053493404761,0.024322600867890287,0.20204618596471846,-4.748598806258997e-05,0.0,0.3174915313720703,0.6825084686279297,0.0
ppo_random_command9_11,200,82.24378321647644,199.53175354003906,47.1281777766253,4096,1.1602631122805178,0.583190803299658,0.7688194986549206,0.40197647432796657,-0.00025007762462792016,0.15909194946289062,0.2086963653564453,0.6322116851806641,0.0
ppo_random_command9_11,300,167.57461633682252,282.59332275390625,49.66404083915654,4096,1.8538308730348945,0.9175598812289536,2.572342559695244,1.54853244201513,-0.0006436171768200438,0.8669700622558594,0.08629035949707031,0.04673957824707031,0.0
ppo_random_command9_11,400,196.75774215698243,285.59942626953125,42.11944924155408,4096,1.8600667379796505,0.8904362232424319,2.64442041143775,2.3441079282201827,-0.0013792622430628398,0.9128379821777344,0.0626678466796875,0.024494171142578125,0.0
ppo_random_command9_11,500,214.50014137268067,328.2060852050781,44.437366746324656,4096,1.857382683083415,0.8299899972043931,2.711785400286317,2.8424995080567896,-0.0031215877606882714,0.9146232604980469,0.0719451904296875,0.013431549072265625,0.0
ppo_random_command9_11,600,208.4091831970215,353.8727722167969,51.42430169937413,4096,1.844708651304245,0.7901766928844154,2.6550180767662823,3.0306871738284826,-0.006381310009601293,0.9322566986083984,0.05919456481933594,0.008548736572265625,0.0
ppo_random_command9_11,700,238.8928246307373,391.06842041015625,69.08246362415206,4096,1.846156311687082,0.7788264830596745,2.8145820540376008,3.8489104476757348,-0.011769580298278015,0.9423637390136719,0.0538177490234375,0.003818511962890625,0.0
ppo_random_command9_11,800,244.39696166992186,406.06329345703125,72.21683636239283,4096,1.8485372019931674,0.7751941499300301,2.8358799777925014,4.222015615552664,-0.019826834584819153,0.9420166015625,0.053905487060546875,0.004077911376953125,0.0
ppo_random_command9_11,900,244.10734169006346,405.03857421875,68.1104953982754,4096,1.8474725289270282,0.7692656558938324,2.818565213121474,4.321825166698545,-0.029491556240827776,0.9406719207763672,0.05687904357910156,0.00244903564453125,0.0
ppo_random_command9_11,1000,238.81318145751953,383.38421630859375,67.8083811368896,4096,1.8508149646222591,0.7853240501135588,2.880291396752,4.226154843927361,-0.04299628167063929,0.9555225372314453,0.04220771789550781,0.002269744873046875,0.0
