id_run_name,reward,max_reward,std,num_envs_test,checkpoint,mean_Episode_Reward/rew_attitude_stability2,mean_Episode_Reward/rew_ang_vel_stability4,mean_Episode_Reward/rew_altitude_hold2,mean_Episode_Reward/rew_vel2,mean_Episode_Reward/rew_pos2,mean_Episode_Reward/rew_action_rate,mean_Episode_Termination/time_out,mean_Episode_Termination/below_min_altitude,mean_Episode_Termination/bad_attitude,mean_Episode_Termination/safety_shutdown
ppo_random_command8_9,332.53277607957887,380.5479710102081,68.73008761068978,256,C:/Users/Teresa/Documents/GitHub/navsim/tmp/tmpTeresa/resultados_grid_command_v8/best_model_ppo_random_command8_9_2048.pt,5.117274195722797,2.711647143697037,2.7461246733060656,0.4725629576939408,0.0498860003700589,-0.0019689483698825,0.0,0.0,0.060791015625,0.0
ppo_random_command8_6,343.33739187282725,382.1045507490635,57.67158614495981,256,C:/Users/Teresa/Documents/GitHub/navsim/tmp/tmpTeresa/resultados_grid_command_v8/best_model_ppo_random_command8_6_1024.pt,3.83828472385281,2.276408562982889,1.5917563027793304,0.1940528470497662,0.0466627474958287,-0.0041361533501885,0.0,0.0191200657894736,0.019281602443609,0.0
ppo_random_command8_1,330.3674108985853,371.6032227575779,58.09376081981729,256,C:/Users/Teresa/Documents/GitHub/navsim/tmp/tmpTeresa/resultados_grid_command_v8/best_model_ppo_random_command8_1_2048.pt,2.068341022908464,1.4210408473952432,1.147471985232071,0.0537813769872317,0.2240253984928131,-0.0004294006945739,0.0,0.0114554073033707,0.0307086844569288,0.0
ppo_random_command8_3,337.2877152265478,382.1407356262207,72.90416722065864,256,C:/Users/Teresa/Documents/GitHub/navsim/tmp/tmpTeresa/resultados_grid_command_v8/best_model_ppo_random_command8_3_2048.pt,2.368747332887928,1.7306279162638378,1.521528019630996,0.0682362710666608,0.1204833898448596,-0.0038389644554109,0.0,0.0036781478102189,0.0644673813868613,0.0
ppo_random_command8_26,345.19145039669377,384.0362978875637,53.59243297168278,256,C:/Users/Teresa/Documents/GitHub/navsim/tmp/tmpTeresa/resultados_grid_command_v8/best_model_ppo_random_command8_26_512.pt,2.033821724580996,1.4580790082162076,0.97739040315377,0.0399816362725246,0.1192611140960996,-0.0029427734142783,0.0,0.0077385179924242,0.0230971827651515,0.0
ppo_random_command8_9,339.2420914298934,382.3784107863903,49.34516215166072,1024,C:/Users/Teresa/Documents/GitHub/navsim/tmp/tmpTeresa/resultados_grid_command_v8/best_model_ppo_random_command8_9_2048.pt,4.767917133980415,2.6330321866962603,2.8732659572661485,0.2837242597346225,0.1646327172143698,-0.0012556995283176,0.0,0.0019189730033081,0.0307681799385633,0.0
ppo_random_command8_6,343.41083233720553,381.57695466279984,58.05571806685958,1024,C:/Users/Teresa/Documents/GitHub/navsim/tmp/tmpTeresa/resultados_grid_command_v8/best_model_ppo_random_command8_6_1024.pt,2.693034838934178,1.559153211852027,0.4257300337338066,0.0376936664652226,0.0762727157319781,-0.0031303617164489,0.0,0.0240241731403013,0.0124405970456685,0.0
ppo_random_command8_1,331.7867656335094,370.4323360621929,50.233244047501415,1024,C:/Users/Teresa/Documents/GitHub/navsim/tmp/tmpTeresa/resultados_grid_command_v8/best_model_ppo_random_command8_1_2048.pt,3.717690058474271,2.3779621483301217,1.961516991468533,0.1129163471669977,0.3301838500003488,-0.0006765103985704,0.0,0.0163049086084905,0.0182718528891509,0.0
ppo_random_command8_3,333.266182229631,384.0283904075623,78.16632297241866,1024,C:/Users/Teresa/Documents/GitHub/navsim/tmp/tmpTeresa/resultados_grid_command_v8/best_model_ppo_random_command8_3_2048.pt,2.460865392019083,1.7863506281563828,1.7705039574622037,0.0798743508227047,0.2203317149970177,-0.0041775228486077,0.0,0.0027942004504504,0.0779780757319819,0.0
ppo_random_command8_26,345.6561483558801,385.6774054169655,52.99390471892678,1024,C:/Users/Teresa/Documents/GitHub/navsim/tmp/tmpTeresa/resultados_grid_command_v8/best_model_ppo_random_command8_26_512.pt,1.658509272608404,1.3567798081396654,0.717396865250716,0.0295887577472929,0.0461543614126077,-0.0017551367926151,0.0,0.0114889705882352,0.0174085700308349,0.0
