id_run_name,iteration,reward,max_reward,std_reward,num_envs_train,mean_Episode_Reward/rew_attitude_stability2,mean_Episode_Reward/rew_ang_vel_stability4,mean_Episode_Reward/rew_altitude_hold2,mean_Episode_Reward/rew_vel2,mean_Episode_Reward/rew_pos2,mean_Episode_Reward/rew_action_rate,mean_Episode_Termination/time_out,mean_Episode_Termination/below_min_altitude,mean_Episode_Termination/bad_attitude,mean_Episode_Termination/safety_shutdown
ppo_random_command8_1,957,457.0651962280273,481.59814453125,14.586050917944402,2048,7.936188697814941,3.937521929740906,3.9469022703170777,1.4230015075206757,0.9652353159338236,-0.0271692155674099,1.0,0.0,0.0,0.0
ppo_random_command8_2,311,440.3005249023437,481.9776916503906,14.518938031434608,512,7.949705281257629,3.976573126316071,3.989818377494812,1.3343089985847474,0.3167472060397267,-0.0063289188966155,1.0,0.0,0.0,0.0
ppo_random_command8_3,850,455.8898168945312,476.5668029785156,13.75589776142532,2048,7.942551307678222,3.890404181480408,3.9859396743774416,1.415671601295471,1.056560230255127,-0.1730101491510868,1.0,0.0,0.0,0.0
ppo_random_command8_5,958,446.71059143066407,476.7412109375,15.138380862000613,128,7.919356455802918,3.849370884895325,3.963484172821045,1.3944439888000488,1.3477181845903397,-0.0711103336513042,1.0,0.0,0.0,0.0
ppo_random_command8_6,857,458.54489868164063,477.9615783691406,14.603836982791853,1024,7.942256960868836,3.871338629722595,3.9731068658828734,1.4318838584423066,1.3497537091374396,-0.1857593193650245,1.0,0.0,0.0,0.0
ppo_random_command8_7,848,416.1289443969727,441.36572265625,15.329102538192805,512,7.902506976127625,3.783066895008087,3.969337596893311,1.3779907774925233,1.1132649655640126,-1.428583221435547,1.0,0.0,0.0,0.0
ppo_random_command8_8,920,439.17187072753904,477.3013000488281,13.83836007672204,8196,7.929429459571838,3.9404323172569273,3.947167208194733,1.3416923773288727,0.2647472121194005,-0.0007590951467864,1.0,0.0,0.0,0.0
ppo_random_command8_9,948,465.730475769043,485.2993774414063,16.52917945362928,2048,7.950432720184327,3.955276689529419,3.989101550579071,1.444359803199768,1.194907297194004,-0.0074732266645878,1.0,0.0,0.0,0.0
ppo_random_command8_10,848,447.4247772216797,484.4674072265625,17.502784123427862,1024,7.940172204971313,3.956543755531311,3.974923877716064,1.395793341398239,0.6540888345241547,-0.005965667408891,1.0,0.0,0.0,0.0
ppo_random_command8_11,998,386.0016932678223,421.825439453125,18.157465601765868,4096,7.834860501289367,2.808119624853134,3.859250987768173,0.6853567614150233,0.1200543254986405,-0.0043097203131765,0.972529296875,0.000244140625,0.00048828125,0.02673828125
ppo_random_command8_13,979,425.594780883789,458.765625,19.44828678551065,1024,7.902518486976623,3.757681336402893,3.9103203201293946,1.2315248143672943,0.2120002780482173,-0.0012773529754485,0.95283203125,0.04001953125,0.0071484375,0.0
ppo_random_command8_14,784,440.56218811035154,470.8709411621094,14.974257991766285,2048,7.938492069244384,3.897345743179321,3.988537659645081,1.384581320285797,0.7064008570462466,-0.292769264280796,0.9930322265625,0.00048828125,0.0064794921875,0.0
ppo_random_command8_15,737,436.008984375,471.7779846191406,20.17242333574861,64,7.867007894515991,3.885069749355316,3.9023391103744505,1.2670747208595277,0.5932816325128079,-0.0108825054671615,0.984375,0.0,0.015625,0.0
ppo_random_command8_16,367,438.6620358276367,477.2059020996094,16.384604128390063,8196,7.934967851638794,3.875372233390808,3.9688947415351854,1.2109267157316208,0.377869706377387,-0.0070972971385344,1.0,0.0,0.0,0.0
ppo_random_command8_17,921,439.36259979248047,458.7403259277344,14.036841677891386,8196,7.9220564699172975,3.819173376560211,3.969483556747437,1.4076620209217072,1.0995172652602196,-0.8179312801361084,1.0,0.0,0.0,0.0
ppo_random_command8_18,412,444.2622784423828,482.0923461914063,15.794564490726984,1024,7.945085883140564,3.95750077009201,3.979931583404541,1.3989897084236145,0.52424515966326,-0.0016194652323611,1.0,0.0,0.0,0.0
ppo_random_command8_19,349,57.87282224655152,142.06114196777344,25.39885139373748,512,1.3114472231268883,0.5928685718774795,0.2823863781988621,0.0129064609500346,0.0711895969882607,-0.0002229944590362,0.0,0.21841796875,0.78158203125,0.0
ppo_random_command8_21,741,436.8327487182617,472.85394287109375,16.7231592748989,4096,7.939808368682861,3.8938182020187377,3.988318021297455,1.3204439187049866,0.4525491833314299,-0.2587156645953655,0.99927001953125,0.00048828125,0.0,0.00024169921875
ppo_random_command8_22,826,435.169880065918,458.9753723144531,13.689675473064366,4096,7.923432645797729,3.7480523419380174,3.9554552149772646,1.4005970788002011,1.0545148433744906,-0.7479794961214066,1.0,0.0,0.0,0.0
ppo_random_command8_23,243,433.0575668334961,464.3457946777344,12.66275628339896,2048,7.930004420280457,3.89380562543869,3.98530225276947,1.3295488381385805,0.438760855384171,-0.2987585687637329,1.0,0.0,0.0,0.0
