id_run_name,iteration,reward,max_reward,std_reward,num_envs_train,mean_Episode_Reward/rew_attitude_stability2,mean_Episode_Reward/rew_ang_vel_stability4,mean_Episode_Reward/rew_altitude_hold2,mean_Episode_Reward/rew_vel2,mean_Episode_Reward/rew_pos2,mean_Episode_Reward/rew_action_rate,mean_Episode_Termination/time_out,mean_Episode_Termination/below_min_altitude,mean_Episode_Termination/bad_attitude,mean_Episode_Termination/safety_shutdown
ppo_random_command8_11,0,7.546473183631897,10.491873741149902,1.5920938728493619,4096,0.09747461733786622,0.06426210493918916,0.08300136129219027,0.007283246704446356,0.04460023445881234,-2.1884982750464133e-05,0.008947372436523438,5.14984130859375e-05,0.6370277404785156,0.0
ppo_random_command8_11,100,25.057696380615234,38.26972198486328,6.021007649934504,4096,0.4534397607203573,0.30408210190944374,0.14679025544319302,0.011217888422834221,0.0785480884660501,-0.00031473168746742886,0.0,0.09024620056152344,0.9097537994384766,0.0
ppo_random_command8_11,200,213.9908627319336,393.5060119628906,116.8789202207479,4096,4.49493891838938,1.8754271394573152,1.0566423638956621,0.30341266868344974,0.15052241258672439,-0.008735321891435888,0.15089988708496094,0.5735111236572266,0.2755889892578125,0.0
ppo_random_command8_11,300,430.1816781616211,462.63824462890625,14.871322687816381,4096,7.89797218888998,3.779720224440098,3.8521082550287247,1.2259015119634569,0.43294903825153597,-0.05787739792140201,1.0,0.0,0.0,0.0
ppo_random_command8_11,400,441.8337084960938,474.75537109375,15.10035299156684,4096,7.9382692240178585,3.8838429022580385,3.9748731162399054,1.40904472861439,0.76897643978009,-0.22749747021589428,1.0,0.0,0.0,0.0
ppo_random_command8_11,500,442.1763854980469,468.0041809082031,14.17732610794764,4096,7.93222825601697,3.858061434701085,3.9818933699280024,1.3969957772642374,0.8096332318673376,-0.3839991532731801,1.0,0.0,0.0,0.0
ppo_random_command8_11,600,447.53679595947267,468.8568115234375,14.684716056867279,4096,7.941475428640842,3.872237181290984,3.9836985412985086,1.42863277066499,1.0410352765175048,-0.4327772967517376,1.0,0.0,0.0,0.0
ppo_random_command8_11,700,446.3771371459961,472.7789611816406,14.013052499679207,4096,7.940983660519123,3.873990476131439,3.987027358263731,1.4306128406897187,1.0020557744428515,-0.39016636391170323,1.0,0.0,0.0,0.0
ppo_random_command8_11,800,454.7169937133789,474.43963623046875,14.022880815250865,4096,7.945652727037668,3.8873317893594503,3.987130234017968,1.4418871402740479,1.21385253733024,-0.3340437535662204,1.0,0.0,0.0,0.0
ppo_random_command8_11,900,453.2548815917969,475.29376220703125,15.521059741163484,4096,7.9435588121414185,3.8907260298728943,3.989754095673561,1.44090576749295,1.183038046816364,-0.3074994927737862,1.0,0.0,0.0,0.0
ppo_random_command8_11,1000,452.22399261474607,474.2356262207031,15.316824761625695,4096,7.941596031188965,3.888706998899579,3.9888757038861513,1.436889915727079,1.1261797525221482,-0.319541695760563,1.0,0.0,0.0,0.0
