id_run_name,iteration,reward
ppo_random_hover_9,200,-440.51796447753907
ppo_random_hover_9,300,-437.26682342529296
ppo_random_hover_9,400,-431.6670736694336
ppo_random_hover_9,500,-438.89122589111327
ppo_random_hover_9,600,-431.2478256225586
ppo_random_hover_9,700,-441.0378875732422
ppo_random_hover_9,800,-444.8953311157227
ppo_random_hover_9,900,-445.48924743652344
ppo_random_hover_9,1000,-459.02307495117185
ppo_random_hover_9,1100,-483.3439178466797
ppo_random_hover_9,1200,-500.5636767578125
ppo_random_hover_9,1300,-531.4092642211914
ppo_random_hover_9,1400,-567.8660134887696
ppo_random_hover_9,1500,-585.1736528015136
ppo_random_hover_9,1600,-526.511759185791
ppo_random_hover_9,1700,-465.6485006713867
ppo_random_hover_9,1800,-429.5034623718262
ppo_random_hover_9,1900,-388.9284689331055
ppo_random_hover_9,2000,-379.78045257568357
ppo_random_hover_10,0,-5.375534508732104
ppo_random_hover_10,100,-481.92965545654295
ppo_random_hover_10,200,-484.25228729248045
ppo_random_hover_10,300,-487.0640335083008
ppo_random_hover_10,400,-507.91410461425784
ppo_random_hover_10,500,-406.7072053527832
ppo_random_hover_10,600,-117.14911338806152
ppo_random_hover_10,700,-21.249555058032275
ppo_random_hover_10,800,2.153648032546043
ppo_random_hover_10,900,2.641157766133547
ppo_random_hover_10,1000,1.7765067943930626
ppo_random_hover_10,1100,-0.9962034982442856
ppo_random_hover_11,0,-6.922968048247553
ppo_random_hover_11,100,-495.8030502319336
ppo_random_hover_11,200,-494.73310638427733
ppo_random_hover_11,300,-511.4591253662109
ppo_random_hover_11,400,-493.0014309692383
ppo_random_hover_11,500,-515.2461181640625
ppo_random_hover_11,600,-492.02585754394534
ppo_random_hover_11,700,-536.6604507446289
ppo_random_hover_11,800,-494.6076052856445
ppo_random_hover_11,900,-173.94320899963378
ppo_random_hover_11,1000,-87.177762260437
ppo_random_hover_11,1100,-59.56884167462587
ppo_random_hover_11,1200,-39.61899833500385
ppo_random_hover_12,0,-9.381455661108097
ppo_random_hover_14,0,-5.034228432391371
ppo_random_hover_14,100,-479.8397769165039
ppo_random_hover_14,200,-475.7645114135742
ppo_random_hover_14,300,-474.70272155761717
ppo_random_hover_14,400,-474.5659539794922
ppo_random_hover_14,500,-474.323330078125
ppo_random_hover_14,600,-476.4657528686523
ppo_random_hover_14,700,-483.2678759765625
ppo_random_hover_14,800,-493.4194515991211
ppo_random_hover_14,900,-421.9940739440918
ppo_random_hover_14,1000,-178.6876857185364
ppo_random_hover_14,1100,-83.11937673091889
ppo_random_hover_14,1200,-69.14578886806964
ppo_random_hover_14,1300,-63.15445254057646
ppo_random_hover_14,1400,-31.765804001539944
ppo_random_hover_14,1500,-34.72218365371227
ppo_random_hover_14,1600,-18.263367746695877
ppo_random_hover_14,1700,-26.277520441412925
ppo_random_hover_14,1800,-3.507752592265606
ppo_random_hover_14,1900,0.41220536418259146
ppo_random_hover_14,2000,2.795794232301414
ppo_random_hover_15,0,-5.576582218032508
ppo_random_hover_15,100,-484.91490936279297
ppo_random_hover_15,200,-481.9199548339844
ppo_random_hover_15,300,-487.4444747924805
ppo_random_hover_15,400,-481.9531954956055
ppo_random_hover_15,500,-480.5146435546875
ppo_random_hover_15,600,-485.3907421875
ppo_random_hover_15,700,-483.08753387451173
ppo_random_hover_15,800,-488.5558923339844
ppo_random_hover_15,900,-501.8575012207031
ppo_random_hover_15,1000,-492.75604644775393
ppo_random_hover_15,1100,-493.57852935791016
ppo_random_hover_15,1200,-495.5212518310547
ppo_random_hover_15,1300,-498.3572137451172
ppo_random_hover_15,1400,-499.402907409668
ppo_random_hover_15,1500,-501.6993029785156
ppo_random_hover_15,1600,-513.5971694946289
ppo_random_hover_15,1700,-515.7168969726563
ppo_random_hover_15,1800,-525.2376339721679
ppo_random_hover_15,1900,-535.2925369262696
ppo_random_hover_15,2000,-543.3591415405274
ppo_random_hover_16,0,-5.576582218032508
ppo_random_hover_16,100,-493.3505911254883
ppo_random_hover_16,200,-486.7677655029297
ppo_random_hover_16,300,-483.45543701171874
ppo_random_hover_16,400,-486.14416564941405
ppo_random_hover_16,500,-481.06595916748046
ppo_random_hover_16,600,-487.6913864135742
ppo_random_hover_16,700,-488.19313446044924
ppo_random_hover_16,800,-481.6555911254883
ppo_random_hover_16,900,-493.6155410766602
ppo_random_hover_16,1000,-503.8135012817383
ppo_random_hover_16,1100,-527.7488037109375
ppo_random_hover_16,1200,-555.1630279541016
ppo_random_hover_16,1300,-571.648521118164
ppo_random_hover_16,1400,-454.00030654907226
ppo_random_hover_16,1500,-282.43421352386474
ppo_random_hover_16,1600,-131.34515516281127
ppo_random_hover_16,1700,-135.4647812461853
ppo_random_hover_16,1800,-79.82519332408906
ppo_random_hover_16,1900,-47.366573380231856
ppo_random_hover_16,2000,-55.919184894561766
ppo_random_hover_18,0,-9.381455661108097
ppo_random_hover_18,100,-756.0506475830078
ppo_random_hover_18,200,-812.8058441162109
ppo_random_hover_18,300,-821.7090759277344
ppo_random_hover_18,400,-800.9561474609375
ppo_random_hover_18,500,-747.3920223999023
ppo_random_hover_18,600,-755.4645672607422
ppo_random_hover_18,700,-823.4599249267578
ppo_random_hover_18,800,-710.3417221069336
ppo_random_hover_18,900,-689.3465112304688
ppo_random_hover_18,1000,-698.642202758789
ppo_random_hover_18,1100,-783.7308724975586
ppo_random_hover_18,1200,-651.7889007568359
ppo_random_hover_18,1300,-683.8373376464843
ppo_random_hover_18,1400,-678.7962762451172
ppo_random_hover_18,1500,-663.1807843017579
ppo_random_hover_18,1600,-672.5097033691407
ppo_random_hover_18,1700,-686.216535949707
ppo_random_hover_19,0,-7.003203716838644
ppo_random_hover_19,100,-490.3787145996094
ppo_random_hover_19,200,-537.9396298217773
ppo_random_hover_19,300,-604.3783453369141
ppo_random_hover_19,400,-518.4420849609374
ppo_random_hover_19,500,-467.5672705078125
ppo_random_hover_19,600,-455.27778678894043
ppo_random_hover_19,700,-386.364517288208
ppo_random_hover_19,800,-303.12817535400393
ppo_random_hover_19,900,-259.5991024017334
ppo_random_hover_19,1000,-236.9156962966919
ppo_random_hover_19,1100,-228.62984577178955
ppo_random_hover_19,1200,-171.0462907409668
ppo_random_hover_19,1300,-110.6866322517395
ppo_random_hover_19,1400,-111.8009449338913
